iter	Passed	Remaining
192	7142	29863
193	7166	29773
194	7205	29747
195	7239	29698
196	7277	29663
197	7344	29750
198	7377	29696
199	7410	29640
200	7456	29640
201	7492	29599
202	7528	29556
203	7557	29490
204	7593	29446
205	7626	29395
206	7672	29392
207	7697	29310
208	7755	29350
209	7793	29318
210	7825	29261
211	7861	29219
212	7905	29208
213	7928	29121
214	7973	29112
215	8020	29110
216	8059	29081
217	8099	29053
218	8137	29019
219	8173	28979
220	8208	28934
221	8255	28933
222	8286	28871
223	8327	28847
224	8372	28839
225	8434	28886
226	8473	28855
227	8520	28849
228	8551	28791
229	8586	28746
230	8621	28700
231	8652	28643
232	8700	28639
233	8736	28600
234	8785	28598
235	8834	28600
236	8883	28598
237	8905	28513
238	8935	28451
239	8958	28369
240	8987	28306
241	9022	28259
242	9054	28205
243	9098	28189
244	9120	28106
245	9151	28049
246	9192	28023
247	9221	27962
248	9254	27911
249	9284	27852
250	9319	27808
251	9351	27756
252	9383	27704
253	9414	27650
254	9436	27570
255	9467	27515
256	9516	27513
257	9564	27507
258	9587	27430
259	9630	27411
260	9653	27333
261	9683	27276
262	9716	27227
263	9766	27228
264	9797	27173
265	9859	27206
266	9884	27135
267	9915	27081
268	9945	27027
269	9980	26983
270	10013	26935
271	10094	27018
272	10130	26977
273	10161	26923
274	10196	26882
275	10228	26831
276	10266	26797
277	10298	26747
278	10332	26702
279	10363	26650
280	10411	26638
281	10452	26612
282	10493	26587
283	10517	26516
284	10559	26490
285	10595	26452
286	10643	26441
287	10679	26401
288	10709	26348
289	10739	26294
290	10776	26256
291	10830	26259
292	10877	26247
293	10911	26201
294	10943	26152
295	10979	26113
296	11009	26059
297	11047	26024
298	11092	26005
299	11127	25965
300	11158	25912
301	11194	25872
302	11224	25819
303	11252	25761
304	11278	25700
305	11325	25684
306	11357	25636
307	11379	25566
308	11411	25518
309	11441	25467
310	11470	25412
311	11505	25371
312	11556	25365
313	11589	25318
314	11621	25272
315	11644	25204
316	11689	25186
317	11728	25152
318	11760	25106
319	11794	25064
320	11841	25048
321	11872	24997
322	11906	24954
323	11929	24889
324	11957	24835
325	11991	24792
326	12022	24744
327	12057	24702
328	12105	24690
329	12151	24671
330	12174	24605
331	12205	24558
332	12244	24524
333	12272	24471
334	12303	24424
335	12355	24416
336	12403	24401
337	12437	24359
338	12471	24318
339	12501	24267
340	12526	24208
341	12562	24170
342	12594	24123
343	12626	24077
344	12649	24014
345	12679	23965
346	12727	23950
347	12762	23910
348	12816	23907
349	12858	23879
350	12883	23822
351	12927	23798
352	12975	23782
353	13011	23744
354	13050	23711
355	13091	23682
356	13131	23651
357	13161	23601
358	13191	23553
359	13221	23504
360	13244	23443
361	13276	23398
362	13311	23358
363	13342	23312
364	13372	23264
365	13394	23202
366	13438	23179
367	13462	23121
368	13504	23093
369	13540	23055
370	13573	23012
371	13604	22966
372	13636	22923
373	13687	22910
374	13751	22919
375	13811	22920
376	13853	22892
377	13907	22884
378	13940	22842
379	13974	22799
380	14005	22754
381	14035	22706
382	14079	22681
383	14114	22642
384	14138	22585
385	14183	22560
386	14208	22505
387	14235	22453
388	14265	22406
389	14313	22388
390	14337	22330
391	14404	22341
392	14434	22294
393	14472	22260
394	14503	22214
395	14536	22171
396	14575	22139
397	14602	22087
398	14633	22042
399	14665	21997
